iter	Passed	Remaining
605	6595	4288
606	6608	4278
607	6621	4269
608	6633	4259
609	6644	4247
610	6656	4237
611	6667	4226
612	6677	4215
613	6687	4204
614	6698	4193
615	6708	4181
616	6718	4170
617	6729	4159
618	6739	4147
619	6749	4136
620	6759	4125
621	6771	4114
622	6781	4103
623	6793	4093
624	6805	4083
625	6818	4073
626	6831	4063
627	6845	4054
628	6859	4045
629	6877	4039
630	6890	4029
631	6903	4019
632	6915	4009
633	6928	3999
634	6940	3989
635	6950	3977
636	6960	3966
637	6969	3954
638	6980	3943
639	6989	3931
640	7000	3920
641	7010	3909
642	7020	3897
643	7029	3885
644	7040	3874
645	7049	3863
646	7058	3851
647	7067	3839
648	7077	3827
649	7088	3816
650	7098	3805
651	7109	3794
652	7117	3782
653	7128	3771
654	7138	3759
655	7147	3748
656	7157	3736
657	7166	3724
658	7176	3713
659	7187	3702
660	7198	3692
661	7211	3681
662	7222	3671
663	7234	3660
664	7246	3650
665	7258	3640
666	7272	3631
667	7285	3620
668	7296	3610
669	7309	3600
670	7321	3589
671	7334	3579
672	7344	3568
673	7355	3557
674	7367	3547
675	7378	3536
676	7390	3526
677	7403	3516
678	7415	3505
679	7424	3493
680	7435	3483
681	7444	3471
682	7454	3459
683	7464	3448
684	7473	3436
685	7484	3425
686	7493	3414
687	7503	3402
688	7514	3391
689	7524	3380
690	7535	3369
691	7546	3358
692	7556	3347
693	7567	3336
694	7577	3325
695	7587	3314
696	7600	3304
697	7612	3293
698	7624	3283
699	7636	3272
700	7649	3262
701	7661	3252
702	7672	3241
703	7697	3236
704	7709	3225
705	7721	3215
706	7734	3205
707	7745	3194
708	7754	3182
709	7764	3171
710	7774	3160
711	7784	3148
712	7793	3137
713	7804	3126
714	7813	3114
715	7824	3103
716	7833	3092
717	7843	3080
718	7853	3069
719	7862	3057
720	7873	3046
721	7882	3034
722	7892	3023
723	7902	3012
724	7911	3001
725	7922	2989
726	7933	2979
727	7942	2967
728	7952	2956
729	7962	2944
730	7972	2933
731	7982	2922
732	7992	2911
733	8001	2899
734	8011	2888
735	8021	2877
736	8033	2866
737	8042	2855
738	8051	2843
739	8061	2832
740	8072	2821
741	8084	2811
742	8097	2800
743	8110	2790
744	8122	2780
745	8135	2769
746	8148	2759
747	8160	2749
748	8186	2743
749	8199	2733
750	8213	2723
751	8225	2712
752	8237	2702
753	8251	2692
754	8264	2681
755	8275	2670
756	8286	2659
757	8296	2648
758	8307	2637
759	8322	2628
760	8333	2617
761	8344	2606
762	8355	2595
763	8367	2584
764	8379	2574
765	8391	2563
766	8401	2552
767	8412	2541
768	8422	2530
769	8432	2518
770	8442	2507
771	8451	2496
772	8462	2485
773	8473	2474
774	8483	2462
775	8492	2451
776	8504	2440
777	8514	2429
778	8524	2418
779	8534	2407
780	8544	2396
781	8554	2384
782	8564	2373
783	8574	2362
784	8583	2350
785	8593	2339
786	8603	2328
787	8612	2317
788	8622	2305
789	8631	2294
790	8643	2283
791	8655	2273
792	8667	2262
793	8746	2269
794	8794	2267
795	8826	2262
796	8853	2254
797	8863	2243
798	8873	2232
799	8887	2221
800	8902	2211
801	8916	2201
802	8925	2189
803	8936	2178
804	8947	2167
805	8957	2156
806	8970	2145
807	8983	2134
808	8993	2123
809	9005	2112
810	9017	2101
811	9028	2090
812	9038	2079
813	9050	2067
814	9060	2056
815	9072	2045
816	9083	2034
817	9095	2023
818	9105	2012
819	9117	2001
820	9128	1990
821	9139	1979
822	9150	1968
823	9162	1956
824	9172	1945
825	9185	1934
826	9197	1923
827	9209	1913
828	9222	1902
829	9235	1891
830	9248	1880
831	9261	1870
832	9275	1859
833	9287	1848
834	9303	1838
835	9318	1827
836	9330	1817
837	9343	1806
838	9357	1795
839	9368	1784
840	9380	1773
841	9391	1762
842	9402	1751
843	9413	1739
844	9424	1728
845	9434	1717
846	9445	1706
847	9455	1694
848	9465	1683
849	9476	1672
850	9487	1661
851	9496	1649
852	9507	1638
853	9516	1626
854	9525	1615
855	9535	1604
856	9545	1592
857	9554	1581
858	9564	1569
859	9574	1558
860	9585	1547
861	9594	1536
862	9605	1524
863	9614	1513
864	9624	1502
865	9635	1490
866	9644	1479
867	9677	1471
868	9718	1465
869	9730	1453
870	9739	1442
871	9749	1431
872	9757	1419
873	9766	1407
874	9774	1396
875	9784	1385
876	9793	1373
877	9803	1362
878	9811	1350
879	9821	1339
880	9831	1327
881	9839	1316
882	9849	1305
883	9857	1293
884	9866	1282
885	9874	1270
886	9883	1259
887	9892	1247
888	9901	1236
889	9910	1224
890	9920	1213
891	9929	1202
892	9938	1190
893	9948	1179
894	9956	1168
895	9965	1156
896	9975	1145
897	9984	1134
898	9995	1122
899	10004	1111
900	10013	1100
901	10022	1088
902	10032	1077
903	10042	1066
904	10051	1055
905	10061	1043
906	10069	1032
907	10079	1021
908	10087	1009
909	10097	998
910	10107	987
911	10117	976
912	10127	965
913	10136	953
914	10146	942
915	10155	931
916	10164	919
917	10173	908
918	10182	897
919	10191	886
920	10200	874
921	10209	863
922	10218	852
923	10229	841
924	10240	830
925	10249	819
926	10258	807
927	10267	796
928	10277	785
929	10286	774
930	10295	763
931	10305	751
932	10313	740
933	10323	729
934	10332	718
935	10342	707
936	10352	696
937	10361	684
938	10370	673
939	10378	662
940	10388	651
941	10397	640
942	10406	629
943	10415	617
944	10424	606
945	10434	595
946	10443	584
947	10453	573
948	10462	562
949	10471	551
950	10481	540
951	10489	528
952	10499	517
953	10511	506
954	10520	495
955	10530	484
956	10539	473
957	10549	462
958	10557	451
959	10568	440
960	10577	429
961	10586	418
962	10596	407
963	10605	396
964	10615	385
965	10624	373
966	10633	362
967	10644	351
968	10654	340
969	10664	329
970	10674	318
971	10683	307
972	10693	296
973	10702	285
974	10713	274
975	10723	263
976	10732	252
977	10742	241
978	10752	230
979	10762	219
980	10773	208
981	10782	197
982	10792	186
983	10801	175
984	10811	164
985	10822	153
986	10831	142
987	10841	131
988	10852	120
989	10863	109
990	10875	98
991	10884	87
992	10895	76
993	10906	65
994	10915	54
995	10925	43
996	10935	32
997	10946	21
998	10956	10
999	10965	0
